p1,p2,exp
g0495,ctrl,0.0073417839771458
g0261,g0760,0.0058641789763305
g0232,ctrl,0.0092832919349131
g0083,g0599,0.0033672200308648
g0461,ctrl,0.0166760613420616
g0160,g0495,0.0037210691275759
g0276,ctrl,0.0209495430970421
g0147,g0241,0.0045798048160085
g0200,g0605,0.0030117936756812
g0761,g0157,0.0
g0013,g0495,0.0083966463910344
g0101,ctrl,0.0054823043147329
g0422,g0013,0.0
g0927,g0805,0.0054920104026426
g0873,ctrl,0.0029294026700273
g0157,ctrl,0.913172406046975
g0083,ctrl,0.0
g0200,ctrl,0.0013156857263509
g0564,ctrl,0.003829972091456
g0400,ctrl,0.0
g0698,g0207,0.0
g0744,ctrl,0.385822751140449
g0232,ctrl,0.0032547781688427
g0924,g0034,0.0073438832398499
g0707,g0157,0.0
g0262,ctrl,0.0063890768833654
g0534,ctrl,0.0
g0638,ctrl,0.0
g0491,ctrl,0.0
g0261,g0013,0.468816455873795
g0844,g0957,0.0011589485394012
g0965,g0655,0.0
g0974,g0160,0.348725076188548
g0852,ctrl,0.0
g0852,ctrl,0.0046727364887041
g0256,ctrl,0.0
g0787,g0317,0.0023457718002205
g0534,g0612,0.0
g0022,ctrl,0.0043026850100538
g0160,g0495,0.557684557629159
g0013,ctrl,0.527846482686295
g0534,g0612,0.0068819696717166
g0109,ctrl,0.0154336044137895
g0379,ctrl,0.0097061289541406
g0301,g0139,0.0
g0301,g0612,0.466754982620646
g0301,ctrl,0.0060719856855495
g0844,ctrl,0.0
g0301,ctrl,0.0
g0422,g0139,0.0
g0013,ctrl,0.011435149273986
g0186,g0228,0.0058492566688784
g0422,g0612,0.0
g0510,ctrl,0.0043927360390914
g0195,ctrl,0.0
g0927,g0805,0.0
g0109,g0787,0.0091773403436334
g0852,ctrl,0.0
g0147,ctrl,0.0087941012121865
g0698,g0697,0.0042356783298201
g0787,g0655,0.0016798069425122
g0301,g0751,0.0253487696260288
g0200,g0605,0.0086077558885711
g0612,ctrl,0.344356206741578
g0317,g0655,0.0
g0186,g0868,0.0008294406500588
g0698,g0062,0.0024595034428114
g0844,ctrl,0.0
g0671,ctrl,0.0
g0083,g0633,0.0097165946618477
g0787,g0655,0.0
g0256,ctrl,0.0
g0698,g0207,0.0024771742678723
g0927,g0495,0.0
g0301,g0139,0.0108348147870145
g0564,ctrl,0.001124273756435
g0200,ctrl,0.0074255868419812
g0301,g0751,0.0
g0698,g0207,0.500469869166745
g0186,g0868,0.0
g0417,ctrl,0.0017964201595042
g0965,g0655,0.0
